Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
Hong Kong,Inflation Rate,2003-01-31T00:00:00,-1.6,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2003-02-28T00:00:00,-2,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2003-03-31T00:00:00,-2.1,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2003-04-30T00:00:00,-1.8,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2003-05-31T00:00:00,-2.5,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2003-06-30T00:00:00,-3.1,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2003-07-31T00:00:00,-4,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2003-08-31T00:00:00,-3.8,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2003-09-30T00:00:00,-3.2,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2003-10-31T00:00:00,-2.7,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2003-11-30T00:00:00,-2.4,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2003-12-31T00:00:00,-1.9,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2004-01-31T00:00:00,-1.5,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2004-02-29T00:00:00,-2,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2004-03-31T00:00:00,-2.1,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2004-04-30T00:00:00,-1.5,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2004-05-31T00:00:00,-0.9,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2004-06-30T00:00:00,-0.1,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2004-07-31T00:00:00,0.9,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2004-08-31T00:00:00,0.8,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2004-09-30T00:00:00,0.7,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2004-10-31T00:00:00,0.2,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2004-11-30T00:00:00,0.2,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2004-12-31T00:00:00,0.2,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2005-01-31T00:00:00,-0.5,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2005-02-28T00:00:00,0.8,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2005-03-31T00:00:00,0.8,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2005-04-30T00:00:00,0.5,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2005-05-31T00:00:00,0.8,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2005-06-30T00:00:00,1.2,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2005-07-31T00:00:00,1.3,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2005-08-31T00:00:00,1.4,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2005-09-30T00:00:00,1.6,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2005-10-31T00:00:00,1.3,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2005-11-30T00:00:00,1.2,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2005-12-31T00:00:00,1.3,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2006-01-31T00:00:00,1.9,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2006-02-28T00:00:00,1.6,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2006-03-31T00:00:00,1.6,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2006-04-30T00:00:00,1.9,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2006-05-31T00:00:00,2.1,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2006-06-30T00:00:00,2.2,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2006-07-31T00:00:00,2.3,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2006-08-31T00:00:00,2.5,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2006-09-30T00:00:00,2.1,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2006-10-31T00:00:00,2,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2006-11-30T00:00:00,2.2,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2006-12-31T00:00:00,2.3,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2007-01-31T00:00:00,2,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2007-02-28T00:00:00,0.8,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2007-03-31T00:00:00,2.4,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2007-04-30T00:00:00,1.3,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2007-05-31T00:00:00,1.2,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2007-06-30T00:00:00,1.3,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2007-07-31T00:00:00,1.5,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2007-08-31T00:00:00,1.6,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2007-09-30T00:00:00,1.6,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2007-10-31T00:00:00,3.2,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2007-11-30T00:00:00,3.4,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2007-12-31T00:00:00,3.8,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2008-01-31T00:00:00,3.2,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2008-02-29T00:00:00,6.3,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2008-03-31T00:00:00,4.2,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2008-04-30T00:00:00,5.4,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2008-05-31T00:00:00,5.7,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2008-06-30T00:00:00,6.1,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2008-07-31T00:00:00,6.3,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2008-08-31T00:00:00,4.6,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2008-09-30T00:00:00,3,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2008-10-31T00:00:00,1.8,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2008-11-30T00:00:00,3.1,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2008-12-31T00:00:00,2.1,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2009-01-31T00:00:00,3.1,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2009-02-28T00:00:00,0.8,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2009-03-31T00:00:00,1.2,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2009-04-30T00:00:00,0.6,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2009-05-31T00:00:00,0,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2009-06-30T00:00:00,-0.9,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2009-07-31T00:00:00,-1.5,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2009-08-31T00:00:00,-1.6,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2009-09-30T00:00:00,0.5,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2009-10-31T00:00:00,2.2,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2009-11-30T00:00:00,0.5,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2009-12-31T00:00:00,1.3,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2010-01-31T00:00:00,1,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2010-02-28T00:00:00,2.8,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2010-03-31T00:00:00,2,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2010-04-30T00:00:00,2.4,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2010-05-31T00:00:00,2.5,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2010-06-30T00:00:00,2.8,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2010-07-31T00:00:00,1.3,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2010-08-31T00:00:00,3,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2010-09-30T00:00:00,2.6,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2010-10-31T00:00:00,2.5,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2010-11-30T00:00:00,2.8,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2010-12-31T00:00:00,2.9,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2011-01-31T00:00:00,3.4,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2011-02-28T00:00:00,3.6,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2011-03-31T00:00:00,4.4,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2011-04-30T00:00:00,4.6,Monthly,HKCPIY,2011-06-27T00:00:00
Hong Kong,Inflation Rate,2011-05-31T00:00:00,5.2,Monthly,HKCPIY,2011-07-06T16:13:00
Hong Kong,Inflation Rate,2011-06-30T00:00:00,5.6,Monthly,HKCPIY,2011-07-22T13:25:00
