Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
Hong Kong,Unemployment Rate,2003-01-31T00:00:00,7.4,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2003-02-28T00:00:00,7.6,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2003-03-31T00:00:00,7.5,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2003-04-30T00:00:00,7.8,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2003-05-31T00:00:00,8.2,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2003-06-30T00:00:00,8.5,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2003-07-31T00:00:00,8.4,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2003-08-31T00:00:00,8.4,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2003-09-30T00:00:00,8.2,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2003-10-31T00:00:00,8,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2003-11-30T00:00:00,7.6,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2003-12-31T00:00:00,7.5,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2004-01-31T00:00:00,7.5,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2004-02-29T00:00:00,7.3,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2004-03-31T00:00:00,7.2,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2004-04-30T00:00:00,7.1,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2004-05-31T00:00:00,6.9,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2004-06-30T00:00:00,6.7,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2004-07-31T00:00:00,6.6,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2004-08-31T00:00:00,6.6,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2004-09-30T00:00:00,6.7,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2004-10-31T00:00:00,6.7,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2004-11-30T00:00:00,6.7,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2004-12-31T00:00:00,6.6,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2005-01-31T00:00:00,6.4,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2005-02-28T00:00:00,6.1,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2005-03-31T00:00:00,6,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2005-04-30T00:00:00,5.9,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2005-05-31T00:00:00,5.7,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2005-06-30T00:00:00,5.7,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2005-07-31T00:00:00,5.7,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2005-08-31T00:00:00,5.6,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2005-09-30T00:00:00,5.4,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2005-10-31T00:00:00,5.3,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2005-11-30T00:00:00,5.4,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2005-12-31T00:00:00,5.2,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2006-01-31T00:00:00,5.2,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2006-02-28T00:00:00,5.1,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2006-03-31T00:00:00,5.1,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2006-04-30T00:00:00,5,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2006-05-31T00:00:00,4.9,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2006-06-30T00:00:00,4.9,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2006-07-31T00:00:00,4.9,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2006-08-31T00:00:00,4.8,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2006-09-30T00:00:00,4.6,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2006-10-31T00:00:00,4.6,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2006-11-30T00:00:00,4.5,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2006-12-31T00:00:00,4.5,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2007-01-31T00:00:00,4.5,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2007-02-28T00:00:00,4.3,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2007-03-31T00:00:00,4.3,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2007-04-30T00:00:00,4.3,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2007-05-31T00:00:00,4.3,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2007-06-30T00:00:00,4.2,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2007-07-31T00:00:00,4.1,Monthly,HKUERATE,2014-06-17T10:42:00
